4511	5213	0.264731
3841	1642	0.134578
3040	4203	0.0480395
2187	1697	0.260928
2061	1180	0.202391
664	1731	0.184852
3029	4138	0.278603
3372	2801	0.262898
4444	2539	0.511333
2187	1262	0.0359278
1851	108	0.176245
3372	550	0.0406756
4184	1264	0.069613
3864	224	0.1145
45	4183	0.51667
3864	254	0.5145
2952	5033	0.509578
2952	1182	0.109578
2244	1058	0.0757837
4164	3234	0.545569
1725	163	0.280774
437	785	0.259578
1725	2167	0.0762285
2212	213	0.0487954
2212	3822	0.179748
45	2314	0.26667
570	1090	0.100313
4916	3337	0.0690082
773	3269	0.0331982
2187	952	0.0466421
2244	1796	0.270228
2952	3570	0.176245
570	478	0.26698
4444	2929	0.511333
1851	4048	0.259578
4164	2025	0.545569
4164	3012	0.0673082
3382	2724	0.146149
1453	721	0.264998
664	905	0.268186
4386	1536	0.290797
4014	2760	0.118834
4386	4076	0.290797
1851	965	0.134578
3841	1266	0.0810065
3374	2359	0.213514
5112	1445	0.142986
1453	4068	0.0534596
2212	5124	0.179748
4544	1499	0.267646
4544	3255	0.517646
4511	3060	0.264731
2061	799	0.227391
3520	1659	0.530023
45	1197	0.0500037
3841	1272	0.259578
4511	1392	0.139731
3029	4155	0.528603
1129	4150	0.27335
3372	2203	0.512898
3841	307	0.509578
4916	3531	0.0286042
45	396	0.14167
2741	715	0.141197
2741	4633	0.516197
1226	83	0.180605
2212	4095	0.138081
1653	2536	0.156105
2212	2607	0.0585357
2244	1217	0.0410615
2244	1595	0.520228
1453	2493	0.114998
2061	3065	0.227391
3029	1983	0.278603
4444	1778	0.178
2244	4582	0.520228
5003	143	0.0891889
1129	2543	0.14835
4075	1590	0.126017
5112	4892	0.0417955
1725	3513	0.130774
2472	887	0.259578
923	4045	0.259578
2472	2065	0.072078
3040	206	0.176245
264	2993	0.120245
4014	675	0.0807389
664	2784	0.184852
923	1860	0.509578
378	5092	0.283878
570	1136	0.51698
3864	1027	0.1395
4544	4387	0.517646
4164	641	0.295569
3382	2651	0.121149
4164	1582	0.545569
570	1903	0.183647
1851	3593	0.0929113
4164	2019	0.545569
2041	3206	0.35894
1129	3757	0.14835
5003	3174	0.51776
1831	3827	0.190727
3029	3686	0.0911028
3374	2311	0.546847
2187	332	0.510928
570	4875	0.183647
3864	3645	0.5145
3040	3022	0.259578
4916	1915	0.513453
3674	4891	0.059578
2212	4843	0.513081
1453	1819	0.139998
923	402	0.509578
3864	4866	0.0408154
2365	1163	0.196111
4544	3120	0.517646
264	1179	0.520245
2741	130	0.141197
3947	3633	0.281331
4075	228	0.276017
3717	1409	0.176245
4916	1974	0.180119
2472	353	0.176245
1653	5017	0.131105
4511	4620	0.514731
1453	3599	0.514998
4544	2008	0.117646
1851	5167	0.259578
4511	1334	0.181397
3382	391	0.521149
3674	4749	0.509578
664	159	0.184852
923	644	0.0480395
3947	4941	0.0530704
923	4168	0.509578
4916	1936	0.113453
570	1943	0.0794799
2952	4651	0.509578
1129	1263	0.52335
2187	1360	0.177594
1831	4223	0.27406
4184	3050	0.0973908
2041	955	0.60894
3520	529	0.155023
4075	2706	0.276017
1226	3978	0.263938
378	2168	0.283878
378	1751	0.0672112
3947	1488	0.0474603
3040	4153	0.259578
773	1900	0.518492
1851	2523	0.134578
664	1295	0.143186
5003	3746	0.26776
2212	925	0.513081
2187	5027	0.260928
